Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED_RGKB","LED_Kingbright_APFA3010_3x1.5mm_Horizontal",30.050000,-54.050000,180.000000,top
"J1","vcc GND","PinHeader_1x02_P1.00mm_Horizontal",33.400000,-19.475000,90.000000,top
"R1","1k","R_0805_2012Metric",33.700000,-29.112500,-90.000000,top
"R2","1k","R_0805_2012Metric",33.200000,-38.412500,-90.000000,top
"R3","1k","R_0805_2012Metric",34.350000,-45.262500,-90.000000,top
"SW1","spst","SW_SPDT_PCM12",28.725000,-27.425000,-90.000000,top
"SW2","spst","SW_SPDT_PCM12",28.525000,-36.625000,-90.000000,top
"SW3","spst","SW_SPDT_PCM12",28.450000,-45.750000,-90.000000,top
